rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,70555.0,49,1,0.02,222.82942301448847,418.17063960737477,113.9299057058064,21.94539214075807,44,0.9539488085731996,0.8250843493776616,0.5512776508937959,0.0654681139001908,0.3479807348237855,27871.0,27916.0,14768.0,0,14.800000000000033,498.9706396073748
2,69570.0,48,2,0.04,216.88318735134996,416.5957079309825,113.53071636497911,21.62670948783964,44,0.9389408934458201,0.7898938497756074,0.5293285763544723,0.06561533958411833,0.31314070791345017,27905.0,27895.0,13770.0,0,14.800000000000033,487.6908388011352
3,67286.0,47,3,0.06,210.72915313174374,398.13036851543757,110.28552814666496,20.930152957749364,42,0.9436225192466619,0.8468864818180865,0.5463506993263252,0.0654235675855317,0.39267106903618654,26282.0,26244.0,14760.0,0,14.800000000000033,478.9303685154376
4,66985.0,46,4,0.08,208.1444875257045,388.53988371669095,105.8705723473414,20.67173048270209,43,0.9315123035548672,0.8404731839621356,0.5530383414983726,0.06550748554725906,0.3874237944849382,24632.0,29538.0,12815.0,0,14.800000000000033,468.1398837166909
5,67970.0,47,3,0.06,210.9583346829847,397.28662958896666,107.51508534732974,20.88462400196708,42,0.9471478654137753,0.825207362231353,0.540596897969547,0.06553902869082964,0.3731818146517707,26269.0,27915.0,13786.0,0,14.800000000000033,478.0866295889667
6,70600.0,49,1,0.02,222.06605238173353,419.05131350831783,115.37690738550282,21.78908549969914,43,0.9529232606035474,0.8293760901355682,0.5497513219626812,0.06535276748077024,0.35157752181312746,26274.0,29563.0,14763.0,0,14.800000000000033,499.85131350831784
7,64305.0,44,6,0.12,197.89606314363218,369.0206586322985,98.45590080967294,19.775093154747164,40,0.9507453002973133,0.8057876568109773,0.5400760102204071,0.06526921442063241,0.318914574270318,24587.0,27893.0,11825.0,0,14.800000000000033,449.4206586322985
8,72219.0,50,0,0.0,226.62725867739536,428.70891777858805,117.08829285351362,22.27474797051163,44,0.9550585055913833,0.8461443636529214,0.5472933128955434,0.06552535677749104,0.4102291886040456,27921.0,29525.0,14773.0,0,14.800000000000033,508.70891777858805
9,66312.0,46,4,0.08,208.1078963542676,389.352896023822,106.437467190459,20.60411792357986,42,0.9310355440116875,0.8443328161513316,0.5471506925181497,0.06533818567321716,0.41486110522204306,22983.0,29523.0,13806.0,0,14.800000000000033,469.352896023822
10,65681.0,46,4,0.08,205.9059101468437,389.6905620478649,109.9638024073428,20.450809907834024,41,0.9509699129309217,0.8300710755030908,0.5473060137529001,0.06529121328936029,0.3808630452334381,24633.0,26271.0,14777.0,0,14.800000000000033,469.6905620478649
11,72198.0,50,0,0.0,225.88360653254279,428.21928657119633,117.98317858849597,22.24055018249823,44,0.9564770849969474,0.8388293012262102,0.5591094357250447,0.06564014840476129,0.35452317578352827,27901.0,29517.0,14780.0,0,14.800000000000033,507.81928657119636
12,70586.0,49,1,0.02,222.19206403511927,418.47582299894265,115.75894764178358,21.860744023644436,43,0.9545243197617563,0.8418771409998351,0.5571689437828522,0.06542809637857401,0.36968984777327657,26265.0,29542.0,14779.0,0,14.800000000000033,499.27582299894266
13,64342.0,44,6,0.12,195.62936912049162,366.85163252420864,99.25369656426103,19.534371400378962,41,0.9444152369645663,0.7927831572337884,0.5348812844991947,0.06552714477534494,0.31061331238773204,26282.0,26250.0,11810.0,0,14.800000000000033,447.65163252420865
14,68895.0,48,2,0.04,215.98659118797661,407.29898444823584,111.19245550835777,21.31402954020027,43,0.954997572317194,0.8248273380523136,0.5451823327406814,0.0656142436634425,0.35240145990736216,26246.0,27888.0,14761.0,0,14.800000000000033,487.6989844482358
15,65308.0,45,5,0.1,202.24926277443333,380.1092429500908,104.19191813680983,20.293074806347345,42,0.9294585782674494,0.8189037703187999,0.546528150627532,0.06531547200599193,0.3706200513673078,24599.0,27906.0,12803.0,0,14.800000000000033,459.3092429500908
16,67929.0,47,3,0.06,210.5907042214612,398.0730615334393,109.49515583072525,20.90773561032743,43,0.9541126680292892,0.8400093622403764,0.5549871945089233,0.0655408887353543,0.3810909686599496,24616.0,29527.0,13786.0,0,14.800000000000033,478.0730615334393
17,70564.0,49,1,0.02,221.96321749451877,417.277210331725,115.31530666122866,21.958292785754708,44,0.9554212143557538,0.8334041429724535,0.5470800846745956,0.06558554776057773,0.3833295632636694,26255.0,29558.0,14751.0,0,14.800000000000033,498.077210331725
18,68938.0,48,2,0.04,216.52474558155913,408.0997778120527,111.85017606610819,21.361243506158374,43,0.9541932776171662,0.8030008490586821,0.5372912528484237,0.06550668281432011,0.31680839325051147,27913.0,26261.0,14764.0,0,14.800000000000033,488.49977781205274
19,71219.0,49,1,0.02,220.42200234712823,416.555422454905,114.02826424719137,21.793399273360162,43,0.9461522037432764,0.8542335045276412,0.5586786012255841,0.06568072889489515,0.364430089921279,27895.0,29521.0,13803.0,0,14.800000000000033,497.355422454905
20,70571.0,49,1,0.02,220.82025018134175,417.02527636116037,115.40802918896176,21.84505295134221,44,0.9467784512876648,0.8305211298936408,0.5504153956514354,0.0656187385772027,0.34481434935451044,27878.0,27918.0,14775.0,0,14.800000000000033,497.8252763611604
