rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,91617.0,70,5,0.06666666666666667,249.7421686405842,466.4415124501079,130.6690721262345,27.56611898190168,54,0.8481568439862677,0.9661148551528626,0.7576250960832379,0.07326680041179152,0.900235404337717,36938.0,36945.0,17734.0,17,75.71428571428571,110.9415124501079,18.5,636.9415124501079
2,95436.0,73,2,0.02666666666666667,264.59459067193166,507.37640163083597,137.13727422745242,29.124128027077404,56,0.8535826779527553,0.9665978756025906,0.7528682485043813,0.07320535181356093,0.9039170206191797,38391.0,38426.0,18619.0,20,72.6027397260274,151.87640163083597,18.5,664.7965682975026
3,90417.0,70,5,0.06666666666666667,249.04365572700908,470.4073938222472,130.6928015825929,27.61190783873468,53,0.816180449377956,0.9666214782990278,0.7363592567224782,0.07317948463152656,0.9035082070764827,33966.0,36945.0,19506.0,17,75.71428571428571,111.70149382224713,18.5,637.7014938222471
4,93061.0,71,4,0.05333333333333334,255.8074030451427,475.18162464138663,131.61625572939116,28.27360355405917,54,0.8360429511264902,0.966761444305765,0.7832263914429408,0.07330754279963038,0.9014715268121181,36933.0,38407.0,17721.0,18,74.64788732394366,119.68162464138663,18.5,645.6816246413866
5,96007.0,73,2,0.02666666666666667,265.7603109512639,507.6789575266064,137.72729963270947,29.19610550784311,56,0.8365478240516709,0.9691478059115989,0.7800431481591606,0.07311722619534144,0.9043318324087806,38426.0,39884.0,17697.0,23,68.4931506849315,152.17895752660638,18.5,665.597824193273
6,93986.0,72,3,0.04,259.3106444552834,487.2043314347387,136.05343905982932,28.66702192102853,56,0.8337943545840534,0.9642852331990338,0.7696333524776646,0.07333193548627213,0.9259929521163102,36954.0,38409.0,18623.0,21,70.83333333333333,129.4533647680721,18.5,654.5579314347387
7,87141.0,67,8,0.10666666666666667,237.25020590531628,449.9397695391641,126.08059771832009,26.5753991691966,52,0.805630643708067,0.9580925165132405,0.7871698426497563,0.07314941897232569,0.8931414174950999,33953.0,35458.0,17730.0,15,77.61194029850746,94.4397695391641,18.5,610.6223028724974
8,94793.0,73,2,0.02666666666666667,265.1094486248077,505.058696113392,139.57041586725572,29.360759826251314,58,0.8354829705445219,0.9672195301943881,0.7556213579716272,0.07335575382699237,0.9081991487062011,38395.0,36909.0,19489.0,21,71.23287671232876,141.664196113392,18.5,663.4335294467253
9,95455.0,73,2,0.02666666666666667,261.8523438690514,505.3765265174534,138.36838246425253,28.8553799037417,56,0.8436452849504403,0.9677341498864812,0.7674314847840261,0.07331914800298656,0.9011726787079412,38392.0,38440.0,18623.0,20,72.6027397260274,137.76475985078673,18.5,663.7647598507867
10,96331.0,74,1,0.013333333333333334,270.6462667025668,515.8478144503146,141.1688992754943,29.73361059921585,57,0.838065098336897,0.9699170382599214,0.7346776722800383,0.0731648617578255,0.9074808851405312,36934.0,39901.0,19496.0,25,66.21621621621621,148.27631445031454,18.5,674.2763144503145
11,92127.0,70,5,0.06666666666666667,251.10543259420518,478.53838402277677,129.99443432976983,27.84939303567135,54,0.8761397087833879,0.9602189096624064,0.7548437517812859,0.07326985591428062,0.8857363651499599,38389.0,36898.0,16840.0,18,74.28571428571429,115.11251735611006,18.5,636.9149506894435
12,95400.0,73,2,0.02666666666666667,263.493682954432,495.6815866074003,137.8632618076911,29.069421704550805,56,0.8415982103623407,0.9685242297051385,0.7809822553687239,0.07340060730910908,0.9077780894930986,38388.0,38402.0,18610.0,21,71.23287671232876,137.02811994073363,18.5,663.0281199407336
13,89526.0,69,6,0.08,245.41534012937547,461.4252473757524,127.18443339014827,27.104034647984115,53,0.847788276655906,0.9663997305207538,0.7493107283123873,0.07328257342107179,0.9180323040879663,35469.0,35454.0,18603.0,16,76.81159420289855,105.9252473757524,18.5,627.7072140424191
14,93958.0,72,3,0.04,258.68342029319064,503.3593698302275,138.42005969870814,28.61620716827487,56,0.8527567485062386,0.9671182276621226,0.7578958958296357,0.07327179281454088,0.8951551504803525,38397.0,36938.0,18623.0,21,70.83333333333333,147.85936983022748,18.5,655.0952031635609
15,91573.0,70,5,0.06666666666666667,249.88721233527488,469.1700880495607,128.68116166167576,27.618119960274196,53,0.8400169047076362,0.9666296727491424,0.750145194878645,0.07331906367817387,0.89888983534706,35429.0,38420.0,17724.0,18,74.28571428571429,110.48748804956062,18.5,636.4874880495606
16,94016.0,72,3,0.04,256.59142975714803,483.89350383122223,135.75174276594555,28.360157206940038,55,0.8380551068239348,0.9689048095893125,0.7789251358225598,0.07335036139414351,0.9139784596959049,36993.0,38417.0,18606.0,20,72.22222222222223,128.39350383122223,18.5,654.3935038312222
17,93007.0,71,4,0.05333333333333334,256.71917557812196,498.5461967048824,133.27034647294283,28.22972597958541,55,0.8313932977831381,0.9666647272760397,0.7882153640473212,0.07304006037533885,0.9068515531580658,36905.0,38396.0,17706.0,18,74.64788732394366,125.67789670488241,18.5,648.0461967048824
