rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,89486.0,69,6,0.08,247.06205922486896,479.34911139878204,128.3780479013778,27.496168968600532,54,0.6270567392000004,0.9499716244297172,0.9526695333413849,0.07314950306231616,0.6102649757318147,35435.0,35438.0,18613.0,16,76.81159420289855,115.95411139878206,18.5,628.849111398782
2,93326.0,72,3,0.04,258.66673243366455,488.703841229961,134.95547439114327,28.53277437841064,55,0.6333200171117264,0.9533387067985468,0.9554080816609848,0.07322296544031412,0.6265540692363198,35476.0,38364.0,19486.0,20,72.22222222222223,133.20384122996097,18.5,655.5320412299609
3,90961.0,70,5,0.06666666666666667,248.49518943491043,466.7508170539579,131.12775553465875,27.467207437041367,54,0.6320511533699842,0.9530472229126743,0.9532396180321377,0.0732312386548345,0.6005665467538157,36918.0,35441.0,18602.0,17,75.71428571428571,111.25081705395792,18.5,637.2508170539579
4,96356.0,74,1,0.013333333333333334,268.45374408317997,514.0468954345315,139.8194964908935,29.58440333440161,57,0.639353209920037,0.9560839019360778,0.9545897499717065,0.07336090232956587,0.5889539899623312,38437.0,38420.0,19499.0,23,68.91891891891892,150.12212876786487,18.5,672.4744621011981
5,89508.0,69,6,0.08,246.5010845743387,458.60771694148843,125.53255496058657,27.223328213561942,52,0.6303372979923791,0.9517999288661165,0.9500367555418959,0.07311943370149175,0.6452796282891186,33985.0,36927.0,18596.0,16,76.81159420289855,103.10771694148843,18.5,629.1077169414884
6,90981.0,70,5,0.06666666666666667,251.18619703336918,486.699313700036,129.02022703637837,27.874379612975417,54,0.637642022214798,0.9530158880086417,0.9520099071216799,0.0733522744550927,0.6208919436389151,36950.0,35423.0,18608.0,17,75.71428571428571,123.25224703336937,18.5,636.199313700036
7,90429.0,70,5,0.06666666666666667,251.32310494442956,467.6828101825247,129.87688825629675,27.698299583977825,53,0.626187949814266,0.952634897891933,0.952510904319749,0.07312429279209147,0.6502322323828339,33975.0,36956.0,19498.0,17,75.71428571428571,112.18281018252469,18.5,638.1828101825247
8,90078.0,69,6,0.08,248.78047553775525,460.43057747012256,127.42708308566685,27.52356465765503,54,0.6280926445302291,0.9527951983485112,0.9516141321263722,0.0732814880735279,0.6149328983544847,36925.0,35440.0,17713.0,16,76.81159420289855,102.21651080345589,18.5,627.7165108034559
9,90931.0,70,5,0.06666666666666667,249.8146329921019,479.02187965876874,130.67056818136618,27.5989563213508,54,0.6308513873258536,0.9509631687777856,0.9474652537814743,0.07332329632119668,0.6178545889823059,33963.0,38369.0,18599.0,17,75.71428571428571,123.52187965876874,18.5,636.4507463254354
10,89495.0,69,6,0.08,246.50182893122795,470.30439897953715,126.24675587489456,27.20516734454285,53,0.6269127778676269,0.9530994904078547,0.9567490034668364,0.07322613675573918,0.6350338986023556,33972.0,36907.0,18616.0,16,76.81159420289855,114.80439897953715,18.5,628.1909989795372
11,93076.0,71,4,0.05333333333333334,252.45934296913074,488.4918514198348,131.56290584872508,27.86344405830435,54,0.6309399634245969,0.9565993245527158,0.9519199011470948,0.07328051323187336,0.600697603364074,38443.0,36923.0,17710.0,19,73.2394366197183,132.9918514198348,18.5,645.9197847531682
12,94513.0,72,3,0.04,260.6582688231285,497.5823956749804,136.5958950068606,28.874309208608704,56,0.634518956574702,0.952528165107706,0.9489347584038427,0.07322786331883922,0.5977659133838709,38404.0,38400.0,17709.0,19,73.61111111111111,142.08239567498038,18.5,655.4881956749804
13,91588.0,70,5,0.06666666666666667,249.17193399825248,470.02153971253824,131.17688438444722,27.498312338911088,53,0.6344186384666328,0.9508788480113832,0.9517901579498664,0.07321970015734892,0.6263396204473147,35462.0,38406.0,17720.0,18,74.28571428571429,112.29707304587157,18.5,637.3512397125382
14,90974.0,70,5,0.06666666666666667,253.88466035230817,479.9435636856415,131.06705332997905,28.054733593092244,54,0.6173975556573961,0.9524139131382467,0.9511682856086914,0.07321976250271102,0.643172450434664,33963.0,38416.0,18595.0,18,74.28571428571429,124.4435636856415,18.5,637.3506970189749
15,92458.0,71,4,0.05333333333333334,253.75983111635702,479.4135015388922,134.09933741076193,28.030870633886988,55,0.6297779250617791,0.9522636871103858,0.9529828980027939,0.07319025857350651,0.6205073386623409,35453.0,38422.0,18583.0,19,73.2394366197183,120.71630153889225,18.5,646.7163015388923
16,96351.0,74,1,0.013333333333333334,267.98844021080066,505.699146517107,139.2986873540935,29.474013616817523,57,0.6336485653875765,0.9555426766156859,0.954256616218346,0.07330035763189423,0.6176227626599363,38418.0,38422.0,19511.0,22,70.27027027027027,147.02991318377371,18.5,673.0299131837737
17,94830.0,73,2,0.02666666666666667,261.3233436884781,493.31479391678863,138.25798420809423,28.834940468951764,56,0.6275443076065388,0.9567343077025176,0.955476609180415,0.07341512650270914,0.612023643275505,38392.0,36936.0,19502.0,21,71.23287671232876,137.81479391678863,18.5,662.8969939167887
18,94007.0,72,3,0.04,261.78958673303674,498.92152191822174,135.31971366135662,28.936504834009575,56,0.6344545921883784,0.9521457157706,0.953583292694378,0.07324561992895316,0.582484099330484,38441.0,36948.0,18618.0,21,70.83333333333333,143.42152191822174,18.5,655.3292885848884
19,93055.0,71,4,0.05333333333333334,257.04275389100764,480.0799275999277,130.52242321378873,28.258569009274467,54,0.6384623184093053,0.9510397982266721,0.9499664105393891,0.07311288250912158,0.6160062070753706,36954.0,38389.0,17712.0,19,73.2394366197183,121.90072759992768,18.5,647.4007275999277
20,90053.0,69,6,0.08,245.2534617493923,469.6962308315178,127.77691796722024,27.105600205489512,54,0.6325186801613568,0.9535654471999357,0.9528158637347883,0.07323714636325693,0.5951886827525283,38382.0,33960.0,17711.0,16,76.81159420289855,102.0965641648512,18.5,628.0965641648512
