rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,93364.0,72,3,0.04,263.15452918715016,493.0752240914468,136.7196784823403,28.618435262034076,55,0.9648612521424096,0.8306826631308883,0.5388038146538344,0.07238997666632793,0.3746890102290558,35466.0,38407.0,19491.0,23,68.05555555555556,137.57522409144678,18.5,663.0752240914468
2,94529.0,72,3,0.04,265.33916603546606,517.8087121961629,138.3020683182324,28.775278320100192,55,0.9612267213498265,0.7881451417273632,0.5319082517545811,0.07193072579860138,0.29313170763126,36921.0,39902.0,17706.0,22,69.44444444444444,154.89651219616292,18.5,667.3087121961629
3,95421.0,73,2,0.02666666666666667,267.7163099598611,505.3201224976117,139.80482362795289,29.13090042337767,56,0.9694623915956232,0.8051161754151938,0.5349751980918862,0.07240673298978038,0.32457676402206365,38396.0,38425.0,18600.0,23,68.4931506849315,149.8201224976117,18.5,672.1290224976117
4,92427.0,71,4,0.05333333333333334,258.6579539997835,485.0380824780873,132.16003441928484,28.287211051322046,54,0.9682390870620183,0.8308684555245975,0.5355327976557523,0.0726125115838329,0.3757771961203284,36932.0,36915.0,18580.0,20,71.83098591549296,129.5380824780873,18.5,651.861949144754
5,91586.0,70,5,0.06666666666666667,253.54625142832617,487.5668886387775,131.6905304645319,27.695185926233364,54,0.9547701747677787,0.8088825176857901,0.5263393638077812,0.07235280595342079,0.3484362832475676,36928.0,36934.0,17724.0,19,72.85714285714286,132.06688863877753,18.5,644.9876553054442
6,90084.0,69,6,0.08,246.652679700742,468.18036008413253,130.5442974505878,27.012570380311466,53,0.9679281747198685,0.8135378071027467,0.5370379658421416,0.07250382795607654,0.3496514981598363,33944.0,38426.0,17714.0,19,72.46376811594203,112.68036008413253,18.5,634.4492600841324
7,95151.0,72,3,0.04,265.23378509579834,497.31229054611674,137.5000106619673,28.927921927656413,55,0.9693184574749959,0.7744739459148426,0.5227717560625577,0.07227187698531203,0.2967813296259437,38409.0,39896.0,16846.0,21,70.83333333333333,141.81229054611674,18.5,664.1587572127834
8,90895.0,70,5,0.06666666666666667,255.07048833485206,478.821086847601,132.91493875663681,27.83578053883411,55,0.95701935633481,0.8072250241260329,0.5357262759922562,0.07222595106734919,0.3184238330196285,36874.0,35429.0,18592.0,19,72.85714285714286,121.120486847601,18.5,646.120486847601
9,93354.0,72,3,0.04,260.16380186948896,511.9202462554906,139.72573408263247,28.377157047954867,55,0.9560719285929535,0.8120736451723979,0.5338024179273321,0.07257110781192924,0.3442716834446941,38387.0,35486.0,19481.0,21,70.83333333333333,148.0314129221573,18.5,661.4202462554906
10,93387.0,72,3,0.04,265.8087707944832,495.41198453668926,139.49877530191011,28.854072115744074,57,0.9575308199271648,0.7831165347039722,0.5226189109460946,0.07208159804091253,0.3081147865120649,38421.0,35465.0,19501.0,22,69.44444444444444,139.91198453668926,18.5,665.9119845366893
