rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,60579.0,47,3,0.06,178.591302859349,336.55236865255705,89.68128829404182,19.33396509242881,38,0.9330110673402006,0.7874771225155478,0.5324008856379222,0.0717745122539259,0.2987155646961829,23650.0,23636.0,13293.0,0,100.0,0.0,18.5,436.55236865255705
2,59713.0,46,4,0.08,175.72756485977075,328.7871452614566,87.84025820809676,19.008711003078517,38,0.9457261526332329,0.7618391877585349,0.514845198509538,0.07143625660626102,0.32220436149673565,22156.0,25140.0,12417.0,0,100.0,0.0,18.5,429.2871452614566
3,62020.0,48,2,0.04,181.90162899890183,342.94766604951275,91.73846905534954,19.708557952751868,39,0.9364498304757432,0.8401677530317313,0.5303568418828415,0.07208056815514623,0.4171764106129123,23625.0,25101.0,13294.0,0,100.0,0.0,18.5,443.94766604951275
4,58197.0,45,5,0.1,172.20314256847263,324.11652944125257,86.72501730080883,18.859088018794598,38,0.9275812910705636,0.8186852084814816,0.5281763127374787,0.07151788998948228,0.3674887515041727,23651.0,22157.0,12389.0,0,100.0,0.0,18.5,419.47546277458594
5,61776.0,47,3,0.06,180.36937876447547,337.51618492719615,89.2089369634145,19.474021080287795,38,0.9447046822985643,0.7934197082786514,0.5175264458708839,0.07145308294273196,0.36873907630161035,23665.0,26592.0,11519.0,0,100.0,0.0,18.5,438.51618492719615
6,57592.0,45,5,0.1,172.69466589091024,318.8803364054034,83.93651407349014,18.757290127897193,37,0.9441067321611415,0.8051509472276813,0.5220414265550889,0.07153411210724918,0.3929112055161087,20664.0,23630.0,13298.0,0,100.0,0.0,18.5,419.3803364054034
7,63496.0,49,1,0.02,191.2015608524712,354.94733576965285,95.53839677851575,20.64172856020811,41,0.9466012896710936,0.7628980933958692,0.5143557284943417,0.07164570138681553,0.30707081377237655,25111.0,25098.0,13287.0,0,100.0,0.0,18.5,455.94733576965285
8,59680.0,46,4,0.08,175.80563747257096,327.9880830163636,86.59627081394035,19.03143654554776,38,0.9440105544676292,0.8263760909641711,0.5361307265360309,0.0716530854096098,0.36574185352153854,23635.0,23618.0,12427.0,0,100.0,0.0,18.5,427.9880830163636
9,61710.0,47,3,0.06,181.40740848714617,335.38819043387633,90.76580109429614,19.81064371485011,40,0.9353037325817126,0.793991990334277,0.5267345716995006,0.07180151530264912,0.32707024946299257,25098.0,25076.0,11536.0,0,100.0,0.0,18.5,436.38819043387633
10,61730.0,47,3,0.06,180.1431691622396,336.93912266483187,88.66461143610978,19.46082443527561,38,0.94413595901699,0.8054895392738175,0.5259440554586318,0.07154723501904096,0.35636047551649297,25088.0,25125.0,11517.0,0,100.0,0.0,18.5,437.93912266483187
11,61740.0,47,3,0.06,180.37217385713583,335.29540169121543,89.31134830955313,19.549786834828787,39,0.9448588794777203,0.7915161235606342,0.5238713793213786,0.07181678562706753,0.32503898659609054,25121.0,25093.0,11526.0,0,100.0,0.0,18.5,436.29540169121543
12,64147.0,49,1,0.02,190.34585300249503,353.55373136328865,94.57111421593495,20.54521360116191,41,0.9554230171051067,0.8237270090706901,0.5327987675227083,0.07186535807041655,0.3709900130846447,25121.0,26619.0,12407.0,0,100.0,0.0,18.5,454.55373136328865
13,61134.0,47,3,0.06,179.28695872165125,336.5492133846967,89.03822182250828,19.369570427623387,38,0.9444800015693607,0.7959527899187439,0.5299729824346856,0.07169291780821328,0.32310818668374636,23619.0,25098.0,12417.0,0,100.0,0.0,18.5,437.0492133846967
14,62028.0,48,2,0.04,184.90489120701412,345.3259841898767,91.89053970314615,20.010042161318818,39,0.9541940146318156,0.8095344196683294,0.5267705287632234,0.07185747325796274,0.39065718630077584,22155.0,26585.0,13288.0,0,100.0,0.0,18.5,445.3259841898767
15,63254.0,48,2,0.04,185.28535608559233,345.5807538002018,92.220588290085,19.96577429407969,39,0.9450774922115446,0.7913805930356888,0.5177225354331773,0.07165557343816177,0.351119757906603,25093.0,26625.0,11536.0,0,100.0,0.0,18.5,446.5807538002018
16,61771.0,47,3,0.06,183.0131213030498,338.5112693380125,91.298768050316,19.751774751060953,40,0.9341932289524709,0.7761804555947748,0.5190590683430285,0.07129130813989659,0.29337223191216855,25105.0,25152.0,11514.0,0,100.0,0.0,18.5,439.5112693380125
17,61122.0,47,3,0.06,179.0119765508113,337.1214177957183,89.66848569059373,19.384122958384065,38,0.9469226996167842,0.7862306747946225,0.5195930732694487,0.07168107545802403,0.3643751840912174,22136.0,26572.0,12414.0,0,100.0,0.0,18.5,437.1214177957183
18,61174.0,47,3,0.06,180.04137332421251,335.52286700518357,89.30011693772737,19.516356406349978,39,0.9417479691677604,0.8197888576373804,0.5248567978353748,0.07177936301092162,0.40119173403103037,23625.0,25145.0,12404.0,0,100.0,0.0,18.5,436.52286700518357
19,64074.0,49,1,0.02,191.66574045820582,355.69796793122885,95.57490645958464,20.60479883210517,41,0.9435145024904732,0.789406691163771,0.5201574357439991,0.07152794398153689,0.3368863947271141,25106.0,26571.0,12397.0,1,97.95918367346938,0.19796793122884537,18.5,456.69796793122885
20,61148.0,47,3,0.06,178.14875025647171,336.920876212622,92.84123022980383,19.316920940058626,38,0.9534332264568709,0.7769705511812132,0.5236387250371658,0.0716320025798284,0.32638927781289656,22169.0,26587.0,12392.0,0,100.0,0.0,18.5,437.420876212622
